Dairy,Basics,Flavor,Toppings
CREAM,SUGAR,VANILLA EXTRACT,PEANUTS
SKIM MILK,SALT,COCOA,ALMONDS
MILK,SOY LECITHIN,CHOCOLATE,LEMON PEEL
MILK CHOCOLATE,COCONUT OIL,MOLASSES,RASPBERRY PUREE
SWEETENED CONDENSED MILK,CORN SYRUP,DUTCHED COCOA,STRAWBERRIES
CONDENSED MILK,WATER,CHOCOLATE LIQUOR,PECANS
,EGG YOLKS,COFFEE,ROASTED ALMONDS
,WHEAT FLOUR,CARAMEL,CHERRIES
,BUTTER,DARK CHOCOLATE,BLUEBERRIES
,VEGETABLE GUMS,CINNAMON,HEATH TOFFEE BAR PIECES
,LIQUID SUGAR,RUM,PISTACHIOS
,CANE SUGAR,BOURBON,PEACHES
,BROWN SUGAR,FUDGE COATING,REESE'S PEANUT BUTTER CUP PIECES
,PEANUT OIL,PEPPERMINT EXTRACT,SNICKERS PIECES*
,TAPIOCA STARCH,REESE'S PEANUT BUTTER SAUCE,WALNUTS
,HONEY,WHISKEY,BELGIAN CHOCOLATE
,,WHITE CHOCOLATE ICE CREAM,CHOCOLATE CHIPS
,,BANANAS,HAZELNUTS
,,MANGO,M&M'S MINIS MILK CHOCOLATE CANDIES WITH COCOA BUTTER
,,PEANUT BUTTER,PINEAPPLE
,,,RAISINS
,,,REESE'S MINI PIECES
