Ingredients,Count
SUGAR,309
CREAM,250
SALT,215
SKIM MILK,162
SOY LECITHIN,158
COCONUT OIL,145
CORN SYRUP,140
WATER,132
EGG YOLKS,126
VANILLA EXTRACT,118
MILK,115
COCOA,99
WHEAT FLOUR,75
BUTTER,71
CHOCOLATE,62
VEGETABLE GUMS,62
LIQUID SUGAR,60
MOLASSES,35
PEANUTS,31
DUTCHED COCOA,30
CANE SUGAR,29
BROWN SUGAR,28
PEANUT OIL,27
CHOCOLATE LIQUOR,18
ALMONDS,16
TAPIOCA STARCH,16
HONEY,15
MILK CHOCOLATE,15
COFFEE,13
SWEETENED CONDENSED MILK,13
CARAMEL,9
CONDENSED MILK,8
LEMON PEEL,8
RASPBERRY PUREE,8
STRAWBERRIES,8
DARK CHOCOLATE,7
PECANS,7
CINNAMON,5
ROASTED ALMONDS,5
CHERRIES,4
RUM,4
BLUEBERRIES,3
BOURBON,3
FUDGE COATING,2
HEATH TOFFEE BAR PIECES,2
PEACHES,2
PEPPERMINT EXTRACT,2
PISTACHIOS,2
REESE'S PEANUT BUTTER CUP PIECES,2
REESE'S PEANUT BUTTER SAUCE,2
SNICKERS PIECES*,2
WALNUTS,2
WHISKEY,2
WHITE CHOCOLATE ICE CREAM,2
BANANAS,1
BELGIAN CHOCOLATE,1
CHOCOLATE CHIPS,1
HAZELNUTS,1
M&M'S MINIS MILK CHOCOLATE CANDIES WITH COCOA BUTTER,1
MANGO,1
PEANUT BUTTER,1
PINEAPPLE,1
RAISINS,1
REESE'S MINI PIECES,1
